rowid,day_time,day,time,stage,title,speakers
67,2021-06-05T13:30:00Z,June 5,1:30 PM,Stacking Sats,"State Of Bitcoin Mining (East, West And Everything In Between)",Amanda Fabiano
54,2021-06-05T13:40:00Z,June 5,1:40 PM,Nakamoto,Pay Me In Bitcoin,Ghazi
85,2021-06-05T13:45:00Z,June 5,1:45 PM,End Of Fiat,ION - We Have Liftoff,Daniel Buchner
86,2021-06-05T14:00:00Z,June 5,2:00 PM,End Of Fiat,The Rise Of Sovereignism,Robert Breedlove
55,2021-06-05T14:05:00Z,June 5,2:05 PM,Nakamoto,Giving Back To Bitcoin,Hong Fang
72,2021-06-05T14:15:00Z,June 5,2:15 PM,End Of Fiat,Bitcoin Vaults,Kevin Loaec
87,2021-06-05T14:15:00Z,June 5,2:15 PM,End Of Fiat,The Ultimate Bull Case For Bitcoin,Vijay Boyapati
68,2021-06-05T14:15:00Z,June 5,2:15 PM,Stacking Sats,"Pools (Past, Present, Future)",Pavel Moravec
56,2021-06-05T14:35:00Z,June 5,2:35 PM,Nakamoto,Fireside: Steve Lee And Aaron van Wirdum,Steve Lee
73,2021-06-05T15:00:00Z,June 5,3:00 PM,End Of Fiat,Patrick Byrne,Patrick Byrne
69,2021-06-05T15:00:00Z,June 5,3:00 PM,Stacking Sats,How To Build A (Profitable) Bitcoin Mine,Dave Perrill
57,2021-06-05T15:10:00Z,June 5,3:10 PM,Nakamoto,"Toxic Maximalism: A Feature, Not A Bug",Dr. Bitcoin MD
88,2021-06-05T15:30:00Z,June 5,3:30 PM,End Of Fiat,Financial Freedom Is Not Personal Freedom - Secure Your Ultimate Liberty With A Second Residency Or Citizenship,Michael Cobb
58,2021-06-05T15:35:00Z,June 5,3:35 PM,Nakamoto,Evolution Of Exchanges,Caitlin Long
89,2021-06-05T15:45:00Z,June 5,3:45 PM,End Of Fiat,FTX,Zane Tackett
70,2021-06-05T15:45:00Z,June 5,3:45 PM,Stacking Sats,Bitcoin Mining Fixes Our Energy Problems,Marty Bent
90,2021-06-05T16:00:00Z,June 5,4:00 PM,End Of Fiat,FutureBit,John Stefanopoulos
91,2021-06-05T16:30:00Z,June 5,4:30 PM,End Of Fiat,Tommy/Scarce City/Artists,NA
59,2021-06-05T16:40:00Z,June 5,4:40 PM,Nakamoto,Break For Happy Hour,NA
